"Qty","Value","Device","Package","Parts","Description","MF","MPN","OC_FARNELL","OC_NEWARK","TP_SIGNAL_NAME","VALUE",
"11","","TP10","10MIL_ROUND","TP1, TP2, TP3, TP4, TP6, TP7, TP8, TP9, TP10, TP11, TP12","Test pad","","","","","","",
"2","10","R-US_0207/7","0207/7","R4, R7","RESISTOR, American symbol","","","","unknown","","",
"5","100nF","C-US025-025X050","C025-025X050","C2, C3, C4, C5, C7","CAPACITOR, American symbol","","","","unknown","","",
"1","10118193-0001LF","MICRO-USB-SMD-B-(10118193-0001LF)","MICRO-USB5+6P-SMD-0.65-B","USB1","320010003","","10118193-0001LF","","67T2259","","10118193-0001LF",
"1","10k","R-US_0207/7","0207/7","R3","RESISTOR, American symbol","","","","unknown","","",
"2","10uF","CPOL-USTT5D10","TT5D10","C1, C6","POLARIZED CAPACITOR, American symbol","","","","unknown","","",
"4","2.2k","R-US_0207/7","0207/7","R1, R2, R5, R6","RESISTOR, American symbol","","","","unknown","","",
"1","2N3904","2N3904","TO92","T1","NPN TRANSISTOR","","","","","","",
"1","DEBUG","LED3MM","LED3MM","LED2","LED","","","","","","",
"1","F/CM12P","F/CM12P","F/CM12P","SG1","BUZZER Source: Buerklin","","","unknown","unknown","","",
"1","LASER_DIODE","LASER_DIODE","TO-18","LD1","","","","","","","",
"1","LD","PINHD-1X2","1X02","JP4","PIN HEADER","","","","","","",
"1","LD1117V33","LD1117V33TO220V","TO-220V","U2","310030025","","","","","","",
"1","MLX90614_","MLX90614_","TO-39","U1","Non-contact PIR I2C interface temperature sensor","","1747","","28Y4967","","",
"1","P5V","LED5MM","LED5MM","LED1","LED","","","","","","",
"1","PIC24FJ128GB202","PIC24FJ128GB202","DIL28-3","U$1","","","","","unknown","","",
"1","PICkit3","PINHD-1X6/90","1X06/90","JP1","PIN HEADER","","","","","","",
"1","Pan","PINHD-1X3","1X03","JP2","PIN HEADER","","","","","","",
"1","RESET","10-XX","B3F-10XX","S1","OMRON SWITCH","","B3F-1000","176432","36M3542","","",
"1","Tilt","PINHD-1X3","1X03","JP3","PIN HEADER","","","","","","",
"1","USB","LED3MM","LED3MM","LED3","LED","","","","","","",
